set temperature,Instrument temperature,Set pressure,mv,verification set temperature,verification Instrument temperature,verification Set pressure,verification read pressure,verification mv
40,44.70494461,-4.999850274,-304.5506592,65,70.28012085,-4.999331095,-11.29261494,-290.7867839
40,44.70415243,-4.749946849,-291.7711589,65,70.2671051,-2.499380821,-1.015420516,-164.9479421
40,44.70301056,-4.499856849,-278.8966675,65,70.3028361,-0.000138083,-0.222611984,-31.70369466
40,44.69369888,-4.249993699,-265.9419759,65,70.3100001,2.49992,2.66899699,106.1365147
40,44.69815826,-3.999723973,-252.869222,65,70.3166275,4.99996,5.997868379,243.623291
40,44.695268,-3.749930274,-239.7242432,65,70.33090719,4.99985,6.023923874,243.5402832
40,44.69449234,-3.500070274,-226.474528,65,70.35393016,2.50016,2.653216839,105.9431152
40,44.69782257,-3.250080274,-213.1462402,65,70.39808655,0.000263014,-0.232032686,-31.70621745
40,44.69403458,-3.000036849,-199.7333171,65,70.41049957,-2.499248081,-1.063857714,-164.9322917
40,44.6959432,-2.749957123,-186.2271322,65,70.41853333,-4.999041232,-11.21223577,-290.7141113
40,44.69829941,-2.500033973,-172.6476237,-25,-22.23657417,-4.999466027,-2.77553614,-347.2727661
40,44.69604683,-2.249863699,-158.9641113,-25,-22.25158946,-2.499359451,-3.132065852,-196.3720093
40,44.69740041,-1.999853699,-145.2394409,-25,-22.25104713,-0.000236712,-0.462656587,-36.75152588
40,44.69484711,-1.750007397,-131.4147135,-25,-22.24773598,2.50009,2.265309652,127.9002813
40,44.68987465,-1.499867397,-117.5301514,-25,-22.24254799,4.99998,5.60257419,291.5030619
40,44.686903,-1.249750548,-103.6070964,-25,-22.22856967,4.9998,5.601288795,291.4091797
40,44.68556341,-0.999834849,-89.55460612,-25,-22.2191925,2.50003,2.257579406,127.6758626
40,44.68129094,-0.749853548,-75.47973633,-25,-22.18981552,0.000164384,-0.461659412,-36.73063151
40,44.67807388,-0.499910849,-61.35296631,-25,-22.17594973,-2.499173834,-3.119975169,-196.3295085
40,44.67796326,-0.249810822,-47.16607666,-25,-22.17384863,-4.999239862,-2.788966974,-347.2250366
40,44.71003087,1.32E-05,-32.93774414,25,29.62298775,-4.999988082,-2.939023972,-312.867513
40,44.70395406,0.249942,-18.61653646,25,29.61341349,-2.500417535,-2.608616829,-177.1430664
40,44.69150035,0.500082,-4.25390625,25,29.62681961,-0.000243288,-0.459153682,-33.42862956
40,44.693072,0.750044,10.13468424,25,29.63234711,2.50003,1.897809505,115.0900879
40,44.68981838,1.0001,24.54888916,25,29.62560463,4.99998,2.611153841,262.9626465
40,44.70609665,1.25013,38.97827148,25,29.62659645,4.99994,2.613385737,262.8757324
40,44.72023392,1.50008,53.43733724,25,29.64121946,2.50006,1.894967079,114.9047852
40,44.73701477,1.75017,67.90130615,25,29.67150307,0.000164384,-0.458974322,-33.42993164
40,44.75630188,2.0001,82.35345459,25,29.6854248,-2.499718219,-2.608900627,-177.1411947
40,44.76860809,2.25009,96.83496094,25,29.69330724,-4.999907671,-2.944935501,-312.8133952
40,44.78469086,2.50006,111.2939453,25,29.69095993,-4.999834247,-2.944082975,-312.8175456
40,44.80510076,2.75003,125.7674967,25,29.67396228,-2.499844247,-2.608726581,-177.1088053
40,44.81715012,2.99998,140.2084147,25,29.65183957,-7.89E-05,-0.459117939,-33.43196615
40,44.8278478,3.25003,154.6394043,25,29.64893723,2.50013,1.897831082,115.0803013
